timestamp,accel.x,accel.y,accel.z,accel.mag,accel.diff,comp.x,comp.y,comp.z,comp.dx,comp.dy,comp.dz,comp.heading
1726231547621.38940429687,0.08996582031,-0.08239746093,-1.03149414062,1.03868347081,0.04833984375,194,713,366,-4,-141,88,178.37502364247
1726231547641.32836914062,0.08996582031,-0.08239746093,-1.03149414062,1.03868347081,0.04833984375,194,713,366,-4,-141,88,178.37502364247
1726231547661.32836914062,0.08996582031,-0.08239746093,-1.03149414062,1.03868347081,0.04833984375,194,713,366,-4,-141,88,178.37502364247
1726231547681.2060546875,0.06335449218,-0.08068847656,-1.03967285156,1.04472200139,0.02783203125,148,738,386,-50,-116,108,156.68229161324
1726231547701.32836914062,0.06335449218,-0.08068847656,-1.03967285156,1.04472200139,0.02783203125,148,738,386,-50,-116,108,156.68229161324
1726231547721.32836914062,0.06335449218,-0.08068847656,-1.03967285156,1.04472200139,0.02783203125,148,738,386,-50,-116,108,156.68229161324
1726231547741.35864257812,0.06335449218,-0.08068847656,-1.03967285156,1.04472200139,0.02783203125,148,738,386,-50,-116,108,156.68229161324
1726231547761.2060546875,0.04772949218,-0.05590820312,-1.04028320312,1.04287725754,0.029296875,139,756,392,-59,-98,114,148.95034281337
1726231547781.328125,0.04772949218,-0.05590820312,-1.04028320312,1.04287725754,0.029296875,139,756,392,-59,-98,114,148.95034281337
1726231547801.328125,0.04772949218,-0.05590820312,-1.04028320312,1.04287725754,0.029296875,139,756,392,-59,-98,114,148.95034281337
1726231547821.328125,0.04772949218,-0.05590820312,-1.04028320312,1.04287725754,0.029296875,139,756,392,-59,-98,114,148.95034281337
1726231547841.2060546875,0.033203125,-0.03076171875,-1.03234863281,1.03334042334,0.03002929687,148,763,388,-50,-91,110,151.21338168998
1726231547861.32836914062,0.033203125,-0.03076171875,-1.03234863281,1.03334042334,0.03002929687,148,763,388,-50,-91,110,151.21338168998
1726231547881.32836914062,0.033203125,-0.03076171875,-1.03234863281,1.03334042334,0.03002929687,148,763,388,-50,-91,110,151.21338168998
1726231547901.32836914062,0.033203125,-0.03076171875,-1.03234863281,1.03334042334,0.03002929687,148,763,388,-50,-91,110,151.21338168998
