timestamp,accel.x,accel.y,accel.z,accel.mag,accel.diff,comp.x,comp.y,comp.z,comp.dx,comp.dy,comp.dz,comp.heading
1726757578822.42749023437,0.01867675781,-0.07763671875,-1.06115722656,1.06415738538,0.07629394531,22,679,443,1,15,3,NaN
1726757578842.30541992187,0.03637695312,-0.07641601562,-1.08166503906,1.08497094287,0.02709960937,30,671,445,9,7,5,NaN
1726757578862.42749023437,0.03637695312,-0.07641601562,-1.08166503906,1.08497094287,0.02709960937,30,671,445,9,7,5,NaN
1726757578882.42749023437,0.03637695312,-0.07641601562,-1.08166503906,1.08497094287,0.02709960937,30,671,445,9,7,5,NaN
1726757578902.42749023437,0.03637695312,-0.07641601562,-1.08166503906,1.08497094287,0.02709960937,30,671,445,9,7,5,NaN
1726757578922.30541992187,0.01647949218,0.01904296875,-1.07666015625,1.07695464174,0.09753417968,23,670,437,2,6,-3,NaN
1726757578942.42749023437,0.01647949218,0.01904296875,-1.07666015625,1.07695464174,0.09753417968,23,670,437,2,6,-3,NaN
1726757578962.42749023437,0.01647949218,0.01904296875,-1.07666015625,1.07695464174,0.09753417968,23,670,437,2,6,-3,NaN
1726757578982.4580078125,0.01647949218,0.01904296875,-1.07666015625,1.07695464174,0.09753417968,23,670,437,2,6,-3,NaN
1726757579002.30517578125,0.01867675781,0.05627441406,-1.08056640625,1.08219193735,0.03747558593,34,675,449,11,11,9,NaN
1726757579022.42749023437,0.01867675781,0.05627441406,-1.08056640625,1.08219193735,0.03747558593,34,675,449,11,11,9,NaN
1726757579042.4580078125,0.01867675781,0.05627441406,-1.08056640625,1.08219193735,0.03747558593,34,675,449,11,11,9,NaN
1726757579062.42749023437,0.01867675781,0.05627441406,-1.08056640625,1.08219193735,0.03747558593,34,675,449,11,11,9,NaN
1726757579099.31298828125,0.00207519531,0.05383300781,-1.08129882812,1.08264003938,0.01672363281,30,680,448,7,15,8,NaN
1726757579107.7099609375,0.00207519531,0.05383300781,-1.08129882812,1.08264003938,0.01672363281,30,680,448,7,15,8,NaN
1726757579122.30541992187,0.00207519531,0.05383300781,-1.08129882812,1.08264003938,0.01672363281,30,680,448,7,15,8,NaN
1726757579142.42749023437,0.00207519531,0.05383300781,-1.08129882812,1.08264003938,0.01672363281,30,680,448,7,15,8,NaN
1726757579162.30541992187,-0.0693359375,-0.00354003906,-1.05981445312,1.06208600365,0.09399414062,28,679,437,5,14,-3,NaN
1726757579182.42749023437,-0.0693359375,-0.00354003906,-1.05981445312,1.06208600365,0.09399414062,28,679,437,5,14,-3,NaN
1726757579202.42749023437,-0.0693359375,-0.00354003906,-1.05981445312,1.06208600365,0.09399414062,28,679,437,5,14,-3,NaN
1726757579222.42724609375,-0.0693359375,-0.00354003906,-1.05981445312,1.06208600365,0.09399414062,28,679,437,5,14,-3,NaN
1726757579242.30517578125,-0.11206054687,-0.0458984375,-1.03833007812,1.04536767879,0.06384277343,41,679,442,15,14,2,NaN
1726757579262.42749023437,-0.11206054687,-0.0458984375,-1.03833007812,1.04536767879,0.06384277343,41,679,442,15,14,2,NaN
1726757579282.42749023437,-0.11206054687,-0.0458984375,-1.03833007812,1.04536767879,0.06384277343,41,679,442,15,14,2,NaN
1726757579302.42749023437,-0.11206054687,-0.0458984375,-1.03833007812,1.04536767879,0.06384277343,41,679,442,15,14,2,NaN
1726757579322.30541992187,-0.07885742187,-0.00842285156,-1.03869628906,1.04171945279,0.05004882812,50,701,441,19,26,1,323.84181456019
1726757579342.42749023437,-0.07885742187,-0.00842285156,-1.03869628906,1.04171945279,0.05004882812,50,701,441,19,26,1,323.84181456019
1726757579362.42749023437,-0.07885742187,-0.00842285156,-1.03869628906,1.04171945279,0.05004882812,50,701,441,19,26,1,323.84181456019
1726757579382.42749023437,-0.07885742187,-0.00842285156,-1.03869628906,1.04171945279,0.05004882812,50,701,441,19,26,1,323.84181456019
1726757579402.30541992187,-0.06958007812,0.02368164062,-1.03991699218,1.04251117884,0.03332519531,48,698,441,17,23,1,323.53076560994
1726757579422.42749023437,-0.06958007812,0.02368164062,-1.03991699218,1.04251117884,0.03332519531,48,698,441,17,23,1,323.53076560994
1726757579442.4580078125,-0.06958007812,0.02368164062,-1.03991699218,1.04251117884,0.03332519531,48,698,441,17,23,1,323.53076560994
1726757579462.42749023437,-0.06958007812,0.02368164062,-1.03991699218,1.04251117884,0.03332519531,48,698,441,17,23,1,323.53076560994
1726757579482.30517578125,-0.07568359375,0.03967285156,-1.03112792968,1.03466262563,0.01916503906,36,722,438,5,36,-2,352.09283729704
1726757579502.42749023437,-0.07568359375,0.03967285156,-1.03112792968,1.03466262563,0.01916503906,36,722,438,5,36,-2,352.09283729704
1726757579522.42749023437,-0.07568359375,0.03967285156,-1.03112792968,1.03466262563,0.01916503906,36,722,438,5,36,-2,352.09283729704
1726757579542.42749023437,-0.07568359375,0.03967285156,-1.03112792968,1.03466262563,0.01916503906,36,722,438,5,36,-2,352.09283729704
1726757579562.30541992187,-0.08166503906,0.05236816406,-1.02600097656,1.03057731739,0.01489257812,41,699,442,10,13,2,322.43140797117
1726757579582.42749023437,-0.08166503906,0.05236816406,-1.02600097656,1.03057731739,0.01489257812,41,699,442,10,13,2,322.43140797117
1726757579602.42749023437,-0.08166503906,0.05236816406,-1.02600097656,1.03057731739,0.01489257812,41,699,442,10,13,2,322.43140797117
1726757579622.4580078125,-0.08166503906,0.05236816406,-1.02600097656,1.03057731739,0.01489257812,41,699,442,10,13,2,322.43140797117
1726757579642.30541992187,-0.08239746093,0.06970214843,-1.04541015625,1.05096628197,0.02600097656,39,704,429,8,18,-11,336.03751102542
1726757579662.42749023437,-0.08239746093,0.06970214843,-1.04541015625,1.05096628197,0.02600097656,39,704,429,8,18,-11,336.03751102542
1726757579682.42749023437,-0.08239746093,0.06970214843,-1.04541015625,1.05096628197,0.02600097656,39,704,429,8,18,-11,336.03751102542
1726757579702.42749023437,-0.08239746093,0.06970214843,-1.04541015625,1.05096628197,0.02600097656,39,704,429,8,18,-11,336.03751102542
1726757579722.30517578125,-0.05871582031,0.08618164062,-1.056640625,1.06177409703,0.03088378906,36,705,430,5,19,-10,345.25643716352
1726757579742.42749023437,-0.05871582031,0.08618164062,-1.056640625,1.06177409703,0.03088378906,36,705,430,5,19,-10,345.25643716352
1726757579762.42749023437,-0.05871582031,0.08618164062,-1.056640625,1.06177409703,0.03088378906,36,705,430,5,19,-10,345.25643716352
1726757579782.42749023437,-0.05871582031,0.08618164062,-1.056640625,1.06177409703,0.03088378906,36,705,430,5,19,-10,345.25643716352
1726757579802.30541992187,-0.02587890625,0.08557128906,-1.04309082031,1.04691481158,0.03552246093,32,703,433,1,17,-7,356.63353933657
1726757579822.42749023437,-0.02587890625,0.08557128906,-1.04309082031,1.04691481158,0.03552246093,32,703,433,1,17,-7,356.63353933657
1726757579842.42749023437,-0.02587890625,0.08557128906,-1.04309082031,1.04691481158,0.03552246093,32,703,433,1,17,-7,356.63353933657
1726757579862.42749023437,-0.02587890625,0.08557128906,-1.04309082031,1.04691481158,0.03552246093,32,703,433,1,17,-7,356.63353933657
1726757579882.30541992187,-0.08142089843,0.06018066406,-1.03149414062,1.03645127100,0.06213378906,38,705,439,7,19,-1,339.77514056883
1726757579902.42749023437,-0.08142089843,0.06018066406,-1.03149414062,1.03645127100,0.06213378906,38,705,439,7,19,-1,339.77514056883
1726757579922.42749023437,-0.08142089843,0.06018066406,-1.03149414062,1.03645127100,0.06213378906,38,705,439,7,19,-1,339.77514056883
1726757579942.42749023437,-0.08142089843,0.06018066406,-1.03149414062,1.03645127100,0.06213378906,38,705,439,7,19,-1,339.77514056883
1726757579962.30541992187,-0.125,0.04833984375,-1.04772949218,1.05626645752,0.04797363281,27,685,448,-4,-1,8,104.03624346792
1726757579982.42749023437,-0.125,0.04833984375,-1.04772949218,1.05626645752,0.04797363281,27,685,448,-4,-1,8,104.03624346792
1726757580002.42749023437,-0.125,0.04833984375,-1.04772949218,1.05626645752,0.04797363281,27,685,448,-4,-1,8,104.03624346792
1726757580022.42749023437,-0.125,0.04833984375,-1.04772949218,1.05626645752,0.04797363281,27,685,448,-4,-1,8,104.03624346792
1726757580042.30517578125,-0.02026367187,0.05737304687,-1.04211425781,1.04388907899,0.10522460937,24,681,437,-7,-5,-3,125.53767779197
1726757580062.42749023437,-0.02026367187,0.05737304687,-1.04211425781,1.04388907899,0.10522460937,24,681,437,-7,-5,-3,125.53767779197
1726757580082.42749023437,-0.02026367187,0.05737304687,-1.04211425781,1.04388907899,0.10522460937,24,681,437,-7,-5,-3,125.53767779197
1726757580126.76342773437,-0.00061035156,0.0595703125,-1.03625488281,1.03796588422,0.0205078125,37,682,447,6,-4,7,236.30993247402
1726757580135.46557617187,-0.00061035156,0.0595703125,-1.03625488281,1.03796588422,0.0205078125,37,682,447,6,-4,7,236.30993247402
