Frequency_Hz,Amplitude,Window,file_name
14.0,0.030746041032987947,3,handflapping-20240913-16h32.csv
15.0,0.05358399556712755,3,handflapping-20240913-16h32.csv
16.0,0.0313150935326247,3,handflapping-20240913-16h32.csv
17.0,0.012888429653172365,3,handflapping-20240913-16h32.csv
18.0,0.029178649560545136,3,handflapping-20240913-16h32.csv
19.0,0.027635949670734624,3,handflapping-20240913-16h32.csv
20.0,0.01991467296312003,3,handflapping-20240913-16h32.csv
21.0,0.012602957248133626,3,handflapping-20240913-16h32.csv
22.0,0.033063772998416945,3,handflapping-20240913-16h32.csv
23.0,0.04503131396933337,3,handflapping-20240913-16h32.csv
24.0,0.005857549356054892,3,handflapping-20240913-16h32.csv
0.0,51.176471473673935,4,handflapping-20240913-16h32.csv
1.0,0.09685679077137901,4,handflapping-20240913-16h32.csv
2.0,0.10924692727602636,4,handflapping-20240913-16h32.csv
3.0,0.07731568279931979,4,handflapping-20240913-16h32.csv
4.0,0.013143750052834325,4,handflapping-20240913-16h32.csv
5.0,0.02470524814318789,4,handflapping-20240913-16h32.csv
6.0,0.01493888729281871,4,handflapping-20240913-16h32.csv
7.0,0.008153998927247804,4,handflapping-20240913-16h32.csv
8.0,0.005931954776903892,4,handflapping-20240913-16h32.csv
9.0,0.012000672624880726,4,handflapping-20240913-16h32.csv
10.0,0.02169099217494207,4,handflapping-20240913-16h32.csv
11.0,0.0306615792637746,4,handflapping-20240913-16h32.csv
12.0,0.010396299995979895,4,handflapping-20240913-16h32.csv
13.0,0.011884213975003182,4,handflapping-20240913-16h32.csv
14.0,0.029109026267971176,4,handflapping-20240913-16h32.csv
15.0,0.01258426218390331,4,handflapping-20240913-16h32.csv
16.0,0.005479357552995946,4,handflapping-20240913-16h32.csv
17.0,0.011318029728068876,4,handflapping-20240913-16h32.csv
18.0,0.007209150632188904,4,handflapping-20240913-16h32.csv
19.0,0.0052638272062825705,4,handflapping-20240913-16h32.csv
20.0,0.007603136517447715,4,handflapping-20240913-16h32.csv
21.0,0.011027095092376019,4,handflapping-20240913-16h32.csv
22.0,0.016452001716465242,4,handflapping-20240913-16h32.csv
23.0,0.010671528962909417,4,handflapping-20240913-16h32.csv
24.0,0.011583063836949976,4,handflapping-20240913-16h32.csv
0.0,51.27981316410094,5,handflapping-20240913-16h32.csv
