Frequency_Hz,mean_amp,std_amp,min_amp,max_amp
0.0,50.9293532280973,0.12230814589738263,50.47084892952829,51.295598904946004
1.0,0.07514184819177917,0.03968386749459034,0.005109422202864362,0.2962334067485641
2.0,0.050548359871430505,0.028064077400990938,0.000251625401319561,0.1782867840154465
3.0,0.03271603681211959,0.019493980341989747,0.0014933349889265624,0.1610208673215471
4.0,0.022260903309720765,0.012380235256753113,9.225109229474981e-05,0.09771301402153397
5.0,0.014932256471768058,0.008647809281513172,0.00021978568229141248,0.06899872713102491
6.0,0.009307485290699639,0.006038716681387776,0.0001815380157122403,0.04835607667066652
7.0,0.009166542217127744,0.005304811021994623,0.0001075471451919887,0.04735461775005096
8.0,0.010315588842651902,0.005782450849765869,0.0002327912512852326,0.0476060021934289
9.0,0.010789437494277285,0.0063415834417685285,0.00018807446781630389,0.04139526199335363
10.0,0.010702462759030624,0.006025500319575633,6.148708452894644e-05,0.04529956924606805
11.0,0.00947162389324711,0.005592525479652727,0.00016974456375189173,0.040384147560382326
12.0,0.005999937249576446,0.0034958078534924465,0.00015328639487578575,0.02539532675552934
13.0,0.00566898826422188,0.0032947656820160234,0.00014169536457349664,0.02384779917910139
14.0,0.007767396617177165,0.00465312957314362,0.00021462813259343376,0.03340867233871709
15.0,0.007750694880018537,0.004392062446063583,0.000334019127307315,0.03291206355759218
16.0,0.007141168100632407,0.003967340151361728,0.00011935568665157228,0.026270232087878053
17.0,0.005780495567314813,0.0032060557759141387,0.0002705646501338528,0.02617162117813675
18.0,0.004294934980363454,0.0026533958497044286,8.082123963584393e-05,0.02788200146370271
19.0,0.003769367870219818,0.0024771425899882613,9.897828219821715e-05,0.02282797173791865
20.0,0.004659585435076194,0.002695469340068831,7.14126971264678e-05,0.020369504120650538
21.0,0.005549067749929526,0.0030414711350701404,0.0003393541901105209,0.021267907895995936
22.0,0.006336123054714171,0.003730113175188203,0.0003774741620395822,0.030716373211667338
23.0,0.006307952316931999,0.00364631058933454,0.00017829769187626348,0.022522858609826894
24.0,0.00529607240146917,0.0029643693812122025,0.0001656616539858339,0.02089832338289314
