timestamp,accel.x,accel.y,accel.z
1726144112197.8623,-0.90966796875,0.36022949218,-0.21923828125
1726144112218.5227,-0.92810058593,0.31225585937,-0.19921875
1726144112237.871,-0.92810058593,0.31225585937,-0.19921875
1726144112257.8906,-0.92810058593,0.31225585937,-0.19921875
1726144112277.8796,-0.92810058593,0.31225585937,-0.19921875
1726144112298.5095,-0.97534179687,0.28686523437,-0.18041992187
1726144112317.888,-0.97534179687,0.28686523437,-0.18041992187
1726144112337.8772,-0.97534179687,0.28686523437,-0.18041992187
1726144112357.8967,-0.97534179687,0.28686523437,-0.18041992187
1726144112378.496,-1.05358886718,0.265625,-0.18725585937
1726144112397.8748,-1.05358886718,0.265625,-0.18725585937
1726144112417.8943,-1.05358886718,0.265625,-0.18725585937
1726144112437.8833,-1.05358886718,0.265625,-0.18725585937
1726144112458.4827,-1.02966308593,0.2421875,-0.20617675781
1726144112477.7695,-1.02966308593,0.2421875,-0.20617675781
1726144112497.9111,-1.02966308593,0.2421875,-0.20617675781
1726144112517.9004,-1.02966308593,0.2421875,-0.20617675781
1726144112538.4995,-0.98510742187,0.22497558593,-0.19201660156
1726144112557.9087,-0.98510742187,0.22497558593,-0.19201660156
1726144112577.8674,-0.98510742187,0.22497558593,-0.19201660156
1726144112597.8867,-0.98510742187,0.22497558593,-0.19201660156
1726144112618.4558,-1.04357910156,0.21899414062,-0.16357421875
1726144112637.8647,-1.04357910156,0.21899414062,-0.16357421875
1726144112657.854,-1.04357910156,0.21899414062,-0.16357421875
1726144112677.8735,-1.04357910156,0.21899414062,-0.16357421875
1726144112698.4424,-1.02807617187,0.21728515625,-0.13256835937
1726144112717.8516,-1.02807617187,0.21728515625,-0.13256835937
1726144112737.871,-1.02807617187,0.21728515625,-0.13256835937
1726144112757.8906,-1.02807617187,0.21728515625,-0.13256835937
1726144112778.4287,-0.94689941406,0.21862792968,-0.09826660156
1726144112797.8992,-0.94689941406,0.21862792968,-0.09826660156
1726144112817.8577,-0.94689941406,0.21862792968,-0.09826660156
1726144112837.8467,-0.94689941406,0.21862792968,-0.09826660156
1726144112858.4155,-0.92260742187,0.22436523437,-0.07189941406
1726144112877.8855,-0.92260742187,0.22436523437,-0.07189941406
1726144112897.8748,-0.92260742187,0.22436523437,-0.07189941406
1726144112917.8943,-0.92260742187,0.22436523437,-0.07189941406
1726144112938.402,-0.95092773437,0.23852539062,-0.06689453125
1726144112957.8723,-0.95092773437,0.23852539062,-0.06689453125
1726144112977.861,-0.95092773437,0.23852539062,-0.06689453125
1726144112997.8503,-0.95092773437,0.23852539062,-0.06689453125
1726144113018.3887,-0.97131347656,0.25451660156,-0.11242675781
1726144113037.8894,-0.97131347656,0.25451660156,-0.11242675781
1726144113057.8784,-0.97131347656,0.25451660156,-0.11242675781
1726144113077.8674,-0.97131347656,0.25451660156,-0.11242675781
1726144113098.3752,-1.03405761718,0.28283691406,-0.17858886718
1726144113117.8455,-1.03405761718,0.28283691406,-0.17858886718
