,episode,mean_accel_mag,min_accel_mag,max_accel_mag,range_accel_mag,mean_to_min_accel_mag,max_to_mean_accel_mag,mean_accel_mag_log10,min_accel_mag_log10,max_accel_mag_log10,range_accel_mag_log10,mean_to_min_accel_mag_log10,max_to_mean_accel_mag_log10
count,414.0,414.0,414.0,414.0,414.0,414.0,414.0,414.0,414.0,414.0,414.0,414.0,414.0
mean,207.5,1.1164600693092586,0.7506331455633211,1.6999396946784253,0.949306549115104,0.36582692374593756,0.5834796253691666,0.04583484318894687,-0.1479663227050784,0.21329954379009874,-0.19644276482217476,-0.6149751317444274,-0.41881047956535217
std,119.6557562342907,0.11522335903186989,0.2115752102351634,0.5039577475228191,0.6555063999612603,0.2631677102026908,0.41746168996164146,0.040478964544370735,0.15671978004888623,0.1201331360145618,0.4924884114261806,0.482955757719019,0.5139782656883284
min,1.0,0.9375730512868986,0.1442744060594489,1.0384314492257412,0.028527006748837902,0.012934649689677613,0.014422391818707858,-0.027994884096454314,-0.8408107048940864,0.016377832401570962,-1.544743795137886,-1.8882453288260717,-1.8409627099683243
25%,104.25,1.0410165324824152,0.624518906467526,1.4026488385016629,0.5417350652822095,0.17090319817905877,0.3218475555334161,0.017457583793776148,-0.20445441577855658,0.14694892242301222,-0.2662137962989809,-0.767250289519533,-0.49235047667032283
50%,207.5,1.0922631992540341,0.77356758395113,1.637650876122686,0.8567078597612028,0.318107725211343,0.534717212022864,0.0383272973334379,-0.11150241055867965,0.21422126418243032,-0.06716759806904975,-0.49742857232622795,-0.27187587141698333
75%,310.75,1.1476392651971032,0.9441730521009368,1.8892152987650688,1.2658841618677528,0.5142157543481392,0.7496523823527366,0.05980539813753348,-0.024948414993980674,0.27628100189660176,0.10239265765039485,-0.2888624215121005,-0.12514026367861752
max,414.0,1.7879534307582787,1.0229392695246535,3.717011361834356,3.1854496805148425,1.317549355897699,2.4071269225457312,0.2523562029229347,0.00984985102082914,0.5701938886110403,0.5031707490673017,0.11976689302502712,0.3814989902783493
