Frequency_Hz,amp_log10_filtered_mean,amp_log10_filtered_std,amp_log10_filtered_min,amp_log10_filtered_max
0,1.7134858399270942,0.02907117678020927,1.5023674190225849,2.1383841144166946
1,0.3759848637521708,0.46100402434871723,-0.527928784760877,1.4098659679740841
2,0.31770182908380407,0.40156473005446497,-0.5282319228359738,1.3419084836866597
3,0.24905718189943854,0.3597019058746531,-0.525813915827159,1.2037454404095882
4,0.13792265933237055,0.32771031097882947,-0.5280975895247236,0.9593130721572595
5,0.10044485900893174,0.308167992158497,-0.52834147166297,0.9046820008803909
6,-0.05258475750856634,0.27372950773117394,-0.5276482856444646,0.7290825713879506
7,-0.042441213155245,0.2655554576536547,-0.527100166353349,0.8031278664086219
8,-0.038327834796510904,0.2677637386318691,-0.5281149825882767,0.7544322223252916
9,-0.071752912954375,0.25313350147510816,-0.5283100691396375,0.6793226803752408
10,-0.10552954740896259,0.2549107050590356,-0.5268299087956128,0.6519270201837711
11,-0.1615793776478837,0.22432675024510373,-0.5282170719556866,0.5516472191954742
12,-0.2559712682355112,0.2006091664058322,-0.526490383320648,0.42527849985324034
13,-0.2582172495194003,0.1959503477962806,-0.527451339052335,0.4064415208145886
14,-0.22137404192680413,0.20714553792259466,-0.5277698580377699,0.49061382551254795
15,-0.16986622445020116,0.22176834590698385,-0.5281255384425493,0.5131880608928077
16,-0.1960521340086372,0.21239469069812933,-0.5274822372337458,0.4818359543947781
17,-0.1919355219297743,0.20380301466849837,-0.5277950933502833,0.49460113550700546
18,-0.22595031798545345,0.192520270262629,-0.5283256897761561,0.34216849283081147
19,-0.260650304016141,0.18317528189155344,-0.5283228751272274,0.3266987971513421
20,-0.21009641654365543,0.19583099177091204,-0.5274717565278069,0.4064889378729799
21,-0.2343745218820354,0.19361756815809814,-0.5276945764268461,0.3103847283204626
22,-0.22363297540922128,0.20896835146856532,-0.5279221524851805,0.48423321455284535
23,-0.22827623531707486,0.19943577138823368,-0.5280910793720387,0.4434128430570986
24,-0.2855377036070601,0.1780528402044174,-0.5268201990856288,0.2805516846343401
